№ с/у,Административный район,Судебный район,Адрес,Примечание к адресу,Телефон / факс,Часы работы,Прием граждан,Судья,Секретарь суда,Секретарь судебного заседания,Помощник мирового судьи,Описание границ участка,Реквизиты для уплаты государственной пошлины: Счет получателя,Реквизиты для уплаты государственной пошлины: Банк получателя,Реквизиты для уплаты государственной пошлины: БИК банка получателя,Реквизиты для уплаты государственной пошлины: Корреспондентский счет,Реквизиты для уплаты государственной пошлины: ИНН получателя,Реквизиты для уплаты государственной пошлины: КПП получателя,Реквизиты для уплаты государственной пошлины: Наименование получателя,Реквизиты для уплаты государственной пошлины: Код бюджетной классификации,Реквизиты для уплаты государственной пошлины: Код ОКТМО,Реквизиты для уплаты государственной пошлины: Основание платежа (поле 106),Реквизиты для уплаты государственной пошлины: Налоговый период (поле 107),Реквизиты для уплаты государственной пошлины: Тип платежа (поле 110)
131,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-02,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Орлова Людмила Владимировна,,,,"Границы судебного участка N 131 проходят: от ул. Крупской по оси р. Невы до продолжения северной границы территории парка Куракина Дача, далее по продолжению северной границы парка Куракина Дача до пр. Обуховской Обороны, далее по оси пр. Обуховской Обороны до пер. Матюшенко, далее по оси пер. Матюшенко до ул. Бабушкина, далее по оси ул. Бабушкина до ул. Полярников, далее по оси ул. Полярников до ул. Седова, далее по оси ул. Седова до Варфоломеевской ул., далее по оси Варфоломеевской ул. до пересечения с восточной стороной полосы отвода Московской ж.д., далее по восточной стороне полосы отвода Московской ж.д. до северной границы территории предприятия «Октябрьский электровагоноремонтный завод», далее по границе территории предприятия «Октябрьский электровагоноремонтный завод»  до ул. Крупской, далее по оси ул. Крупской до р. Невы.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
132,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-04,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Бекова Юлия Николаевна,,,,"Границы судебного участка N 132 проходят: от пересечения пер. Матюшенко и пр. Обуховской Обороны по оси пр. Обуховской Обороны до границы территории парка Куракина Дача, далее по границе территории парка Куракина Дача до Прямого пр., далее по оси Прямого пр. до бульв. Красных Зорь, далее по оси нечетной стороны бульв. Красных Зорь до ул. Кибальчича, далее по оси ул. Кибальчича до пр. Александровской Фермы, далее по оси пр. Александровской Фермы до западной стороны полосы отвода Московской ж.д., далее по западной стороне полосы отвода Московской ж.д., исключая селитебную территорию с жилыми домами по адресам: Фарфоровский пост, дома 2, 4, 30, 34, 36, 40, 46, 48, 52, 54, 64, 66, 68, 72, 74, 76, 78, 84, до продолжения северной границы предприятия «Октябрьский электровагоноремонтный завод», далее, пересекая Московскую ж.д., по восточной стороне полосы отвода Московской ж.д. до Варфоломеевской ул., далее по оси Варфоломеевской ул. до ул. Седова, далее по оси ул. Седова до ул. Полярников, далее по оси ул. Полярников до ул. Бабушкина, далее по оси ул. Бабушкина до пер. Матюшенко, далее по оси пер. Матюшенко до пр. Обуховской Обороны.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
133,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-06,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Ралдугина Оксана Геннадьевна,,,,"Границы судебного участка N 133 проходят: от бульв. Красных Зорь по оси Прямого пр. до северной границы территории парка Куракина Дача, далее по северной границе территории парка Куракина Дача до пр. Обуховской Обороны, далее по оси пр. Обуховской Обороны до Леснозаводской ул., далее по оси Леснозаводской ул. до ул. Бабушкина, далее по оси ул. Бабушкина до ул. Грибакиных, далее по оси ул. Грибакиных, по продолжению ул. Грибакиных до западной стороны полосы отвода Московской ж.д., далее по западной стороне полосы отвода Московской ж.д. до пр. Александровской Фермы, далее по оси пр. Александровской Фермы до ул. Кибальчича, далее по оси ул. Кибальчича до бульв. Красных Зорь, далее по оси нечетной стороны бульв. Красных Зорь до Прямого пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
134,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-08,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Баркалов Сергей Васильевич,,,,"Границы судебного участка N 134 проходят: от пересечения пр. Обуховской Обороны и северной границы территории парка Куракина Дача по продолжению северной границы территории парка Куракина Дача до р. Невы, далее по оси р. Невы до пересечения с северо-западной границей территории Обуховского государственного завода, далее по северо-западной границе территории Обуховского государственного завода до пр. Обуховской Обороны, далее по оси пр. Обуховской Обороны до Запорожской ул., далее по оси Запорожской ул. до ул. Грибакиных, далее по оси ул. Грибакиных до ул. Бабушкина, далее по оси ул. Бабушкина до Леснозаводской ул., далее по оси Леснозаводской ул. до пр. Обуховской Обороны, далее по оси пр. Обуховской Обороны до северной границы территории парка Куракина Дача.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
135,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-10,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Габдуллина Анна Рустимовна,,,,"Границы судебного участка N 135 проходят: от Запорожской ул. по оси пр. Обуховской Обороны до пересечения с северо-западной границей территории Обуховского государственного завода, далее по северо-западной границе территории Обуховского государственного завода до р. Невы, далее по оси р. Невы до границы со Всеволожским районом Ленинградской области, далее по границе Всеволожского района Ленинградской области до точки пересечения набережной р. Невы и Рыбацкого пр., далее 150 м по оси Рыбацкого пр. до Прибрежной ул., далее по оси проезжей части четной стороны Прибрежной ул. до Шлиссельбургского пр., далее по оси Шлиссельбургского пр. до ул. Дмитрия Устинова, далее по оси ул. Дмитрия Устинова до Тепловозной ул., далее по оси Тепловозной ул. до ул. Юннатов, далее по оси ул. Юннатов, далее по оси дороги Рыбацкое - совхоз «Ленсоветовский»  до пересечения с западной стороной полосы отвода Московской ж.д., далее по западной стороне полосы отвода Московской ж.д. до Обуховского путепровода, далее по оси Обуховского путепровода до Запорожской ул., далее по оси Запорожской ул. до пересечения с пр. Обуховской Обороны.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
136,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-12,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Чернецкая Майя Станиславовна,,,,"Границы судебного участка N 136 проходят: от пересечения Тепловозной ул. и ул. Дмитрия Устинова по оси ул. Дмитрия Устинова до Шлиссельбургского пр., далее по оси Шлиссельбургского пр. до Прибрежной ул., далее по оси проезжей части четной стороны Прибрежной ул. до Рыбацкого пр., далее 150 м по оси Рыбацкого пр. до пересечения с наб. р. Невы, далее в створе этого пересечения до оси р. Невы, далее по границе Всеволожского района Ленинградской области, далее на юго-запад до Шлиссельбургского шоссе, далее на запад 240 м по оси Шлиссельбургского шоссе до подъездной автодороги к очистным сооружениям, далее по северо-западной стороне подъездной автодороги, огибая участок очистных сооружений с северной и западной сторон, на юго-запад до пересечения с южной стороной полосы отвода ж.д. Санкт-Петербург - Волховстрой, далее на северо-запад по южной стороне полосы отвода ж.д. Санкт-Петербург - Волховстрой до дороги на Петро-Славянку, далее на юго-запад по оси дороги на Петро-Славянку до северо-западной границы промзоны пос. Петро-Славянка, далее на юго-запад по северо-западной границе промзоны пос. Петро-Славянка, на юг по восточной стороне полосы отвода соединительной ветки ж.д. Петро-Славянка - Рыбацкое, на юго-восток по восточной стороне полосы отвода Московского направления ж.д. до ж.-д. ст. Славянка, далее, пересекая ее, на северо-запад по западной стороне полосы отвода Московской ж.д. до пересечения с дорогой Рыбацкое - совхоз «Ленсоветовский», далее по оси этой дороги до ул. Юннатов, далее по оси ул. Юннатов до Тепловозной ул., далее по оси Тепловозной ул. до пересечения с ул. Дмитрия Устинова.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
137,Невский административный район,,"192029, Санкт-Петербург, пр. Обуховской обороны, д. 121, литера А",,246-53-32,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Коник Светлана Владимировна,,,,"Границы судебного участка N 137 проходят: от пересечения ул. Крыленко и Дальневосточного пр. по оси Дальневосточного пр. до пр. Большевиков, далее по оси пр. Большевиков до Народной ул., далее по оси Народной ул. до границы со Всеволожским районом Ленинградской области, далее по границе Всеволожского района Ленинградской области до р. Невы, далее по оси р. Невы до ул. Крыленко, далее по оси ул. Крыленко до пересечения с Дальневосточным пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40380000,,,
138,Невский административный район,,"192029, Санкт-Петербург, пр. Обуховской обороны, д. 121, литера А",,412-91-00,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Ворламова Жанна Викторовна,,,,"Границы судебного участка N 138 проходят: от пересечения ул. Тельмана и Дальневосточного пр. по оси Дальневосточного пр. до пр. Большевиков, далее по оси пр. Большевиков до Народной ул., далее по оси Народной ул. до границы со Всеволожским районом Ленинградской области, далее по границе Всеволожского района Ленинградской области до ул. Тельмана, далее по оси ул. Тельмана до пересечения с Дальневосточным пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40380000,,,
139,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-16,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Клёсс Маргарита Васильевна,,,,"Границы судебного участка N 139 проходят: от пересечения Искровского пр. и ул. Дыбенко по оси ул. Дыбенко до границы со Всеволожским районом Ленинградской области, далее по границе Всеволожского района Ленинградской области до ул. Крыленко, далее по оси ул. Крыленко до Искровского пр., далее по оси Искровского пр. до пересечения с ул. Дыбенко.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
140,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-18,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Алексеева Ольга Юрьевна,,,,"Границы судебного участка N 140 проходят: от пересечения ул. Тельмана и Искровского пр. по оси Искровского пр. до ул. Дыбенко, далее по оси ул. Дыбенко и ее продолжению до р. Невы, далее по оси р. Невы до ул. Крыленко, далее по оси ул. Крыленко до Дальневосточного пр., далее по оси Дальневосточного пр. до ул. Тельмана, далее по оси ул. Тельмана до пересечения с Искровским пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
141,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-20,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Трофимова Светлана Александровна,,,,"Границы судебного участка N 141 проходят: от пересечения ул. Тельмана и Искровского пр. по оси Искровского пр. до ул. Крыленко, далее по оси ул. Крыленко до границы со Всеволожским районом Ленинградской области, далее по границе Всеволожского района Ленинградской области до пересечения с ул. Тельмана, далее по оси ул. Тельмана до пересечения с Искровским пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
142,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-22,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Яковчук Оксана Николаевна,,,,"Границы судебного участка N 142 проходят: от оси р. Невы по оси Финляндского моста, далее по юго-западной стороне Октябрьской набережной, далее по юго-восточной стороне полосы отвода ж.д. Новый порт - Дача Долгорукова до Дальневосточного пр., далее по оси Дальневосточного пр. до ул. Коллонтай, далее по оси ул. Коллонтай до Искровского пр., далее по оси Искровского пр. до ул. Дыбенко, далее по оси ул. Дыбенко до р. Невы, далее по оси р. Невы до Финляндского моста.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
143,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-24,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Симонян Артур Мартынович,,,,"Границы судебного участка N 143 проходят:от пересечения Искровского пр. и ул. Подвойского по оси ул. Подвойского до пр. Большевиков, далее по оси пр. Большевиков до ул. Дыбенко, далее по оси ул. Дыбенко до Искровского пр., далее по оси Искровского пр. до пересечения с ул. Подвойского.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
144,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-26,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Березина Татьяна Викторовна,,,,"Границы судебного участка N 144 проходят: от пересечения Искровского пр. и ул. Коллонтай по оси ул. Коллонтай до пр. Большевиков, далее по оси пр. Большевиков до пересечения с ул. Подвойского, далее по оси ул. Подвойского до Искровского пр., далее по оси Искровского пр. до пересечения с ул. Коллонтай.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
145,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-28,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Соломатина Галина Михайловна,,,,"Границы судебного участка N 145 проходят: от пересечения ул. Коллонтай и р. Оккервиль по оси р. Оккервиль до ул. Подвойского, далее по оси ул. Подвойского до пр. Солидарности, далее по оси пр. Солидарности до ул. Коллонтай, далее по оси ул. Коллонтай до пересечения с р. Оккервиль.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
146,Петроградский административный район,,"197110, Санкт-Петербург, ул. Большая Разночинная, д. 23, литера Б",,246-54-93,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Иванов Дмитрий Владимирович,,,,"Границы судебного участка N 146 проходят: от пересечения наб. Адмирала Лазарева (Лазаревский мост) со Спортивной ул. по оси Спортивной ул., далее по оси Лазаревского моста до р. Малой Невки, далее по оси р. Малой Невки до Невской Губы, далее по берегу Невской Губы до р. Большой Невки, далее по оси р. Большой Невки до р. Малой Невки, далее по оси р. Малой Невки до Каменноостровского моста, далее по оси Каменноостровского моста до Каменноостровского пр., далее по оси Каменноостровского пр. до оси р. Карповки, далее по оси р. Карповки до Песочной наб., далее по Песочной наб. до наб. Адмирала Лазарева, далее по оси наб. Адмирала Лазарева до Спортивной ул.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
147,Пушкинский административный район,,"196607, Санкт-Петербург, г. Пушкин, ул. Школьная, д. 2",,241-39-31,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Борисова Татьяна Владимировна,,,,"Границы судебного участка N 147 проходят: от пересечения Колпинского шоссе с Промышленной ул., далее по северной стороне Колпинского шоссе до Северской ул., далее по оси Северской ул. до Торопецкой ул., далее на юго-запад по оси Торопецкой ул. до границы пос. Шушары с г. Пушкиным, далее в общем юго-западном направлении по указанной границе до створа Промышленной ул., далее на юг по створу и по оси Промышленной ул. до Колпинского шоссе.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
148,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-33,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Ситникова Татьяна Ивановна,,,,"Границы судебного участка N 148 проходят: от Дальневосточного пр. по юго-восточной стороне полосы отвода ж.д. Новый порт - Дача Долгорукова до пересечения с ул. Латышских Стрелков, далее по оси ул. Латышских Стрелков до Российского пр., далее по оси Российского пр. до ул. Коллонтай, далее по оси ул. Коллонтай до Дальневосточного пр., далее по оси Дальневосточного пр. до пересечения с юго-восточной стороной полосы отвода ж.д. Новый порт - Дача Долгорукова.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
149,Невский административный район,,"192029, г. Санкт-Петербург, ул. Крупской, д. 9, литера А",,241-39-35,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Павлова Ольга Сергеевна,,,,"Границы судебного участка N 149 проходят: от пересечения ул. Латышских Стрелков и юго-восточной стороны полосы отвода ж.д. Новый порт - Дача Долгорукова по юго-восточной стороне полосы отвода ж.д. Новый порт - Дача Долгорукова, далее по южной стороне полосы отвода ж.-д. ветки Дача Долгорукова - Заневский Пост до пересечения с пр. Солидарности, далее по оси пр. Солидарности до пересечения с ул. Коллонтай, далее по оси ул. Коллонтай до Российского пр., далее по оси Российского пр. до ул. Латышских Стрелков, далее по оси ул. Латышских Стрелков до пересечения с юго-восточной стороной полосы отвода ж.д. Новый порт - Дача Долгорукова.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7811047958,781101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 24 по Санкт-Петербургу),18210803010011000110,40378000,,,
151,Петроградский административный район,,"197110, Санкт-Петербург, ул. Большая Разночинная, д. 23, литера Б",,241-51-36,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Кривилёва Алена Сергеевна,,,,"Границы судебного участка N 151 проходят: от пересечения ул. Маркина и Кронверкского пр. по оси Кронверкского пр. до Кронверкского пролива, далее по оси Кронверкского пролива до р. Малой Невы, далее по оси р. Малой Невы до Тучкова моста, далее по оси Тучкова моста до Большого пр. П.С., далее по оси Большого пр. П.С. до Введенской ул., далее по оси Введенской ул. до Большой Пушкарской ул., далее по оси Большой Пушкарской ул. до ул. Воскова, далее по оси ул. Воскова до ул. Маркина, далее по оси ул. Маркина до Кронверкского пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7813085660,781301001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 25 по Санкт-Петербургу),18210803010011000110,40394000,,,
152,Петроградский административный район,,"197110, Санкт-Петербург, ул. Большая Разночинная, д. 23, литера Б",,241-51-31,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Попова Анна Витальевна,,,,"Границы судебного участка N 152 проходят: от пересечения оси Троицкого моста и оси р. Невы по оси р. Невы до пересечения с осью р. Малой Невы, далее по оси р. Малой Невы до пересечения с продолжением Кронверкского пр., далее по оси Кронверкского пр. до ул. Маркина, далее по оси ул. Маркина до ул. Воскова, далее по оси ул. Воскова до Большой Пушкарской ул., далее по оси Большой Пушкарской ул. до Введенской ул., далее по оси Введенской ул. до Большого пр. П.С., далее по оси Большого пр. П.С. до Каменноостровского пр., далее по оси Каменноостровского пр. до р. Невы.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7813085660,781301001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 25 по Санкт-Петербургу),18210803010011000110,40394000,,,
153,Петроградский административный район,,"197110, Санкт-Петербург, ул. Большая Разночинная, д. 23, литера Б",,241-51-32,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Ермолина Елена Константиновна,,,,"Границы судебного участка N 153 проходят: от пересечения оси Троицкого моста и оси р. Невы по оси Троицкого моста до Каменноостровского пр., далее по оси Каменноостровского пр. до ул. Рентгена, далее по оси ул. Рентгена и ее продолжению до р. Большой Невки, далее по оси р. Большой Невки до р. Невы, далее по оси р. Невы до Троицкого моста.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7813085660,781301001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 25 по Санкт-Петербургу),18210803010011000110,40394000,,,
154,Петроградский административный район,,"197110, Санкт-Петербург, ул. Большая Разночинная, д. 23, литера Б",,241-51-34,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Анищенко Мария Николаевна,,,,"Границы судебного участка N 154 проходят: от пересечения ул. Рентгена и Каменноостровского пр. по оси Каменноостровского пр. до пл. Льва Толстого, далее от пл. Льва Толстого по оси Большого пр. П.С. до ул. Ленина, далее по оси ул. Ленина до Чкаловского пр., далее по оси Чкаловского пр. до оси р. Карповки, далее по оси р. Карповки до Каменноостровского пр., далее по оси Каменноостровского пр. до р. Малой Невки, далее по оси р. Малой Невки до р. Большой Невки, далее по оси р. Большой Невки до пересечения с продолжением ул. Рентгена, далее по продолжению ул. Рентгена и по оси ул. Рентгена до Каменноостровского пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7813085660,781301001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 25 по Санкт-Петербургу),18210803010011000110,40394000,,,
155,Петроградский административный район,,"197110, Санкт-Петербург, ул. Большая Разночинная, д. 23, литера Б",,241-51-33,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Богданова Екатерина Олеговна,,,,"Границы судебного участка N 155 проходят: от пересечения оси р. Малой Невы и оси Тучкова моста по оси Тучкова моста до Большого пр. П.С., далее по оси Большого пр. П.С. до ул. Ленина, далее по оси ул. Ленина до Чкаловского пр., далее по оси Чкаловского пр. до ул. Красного Курсанта, далее по оси ул. Красного Курсанта до Офицерского пер., далее по оси Офицерского пер. (включая жилой дом по адресу: Ждановская наб., д. 11, лит. Д) до Ждановской ул., далее по оси Ждановской ул. до Ждановского моста через р. Ждановку, далее по оси р. Ждановки до Новоладожской ул., далее по оси Новоладожской ул. до Пионерской ул., далее по оси Пионерской ул. до р. Малой Невки, далее по оси р. Малой Невки до Невской губы, далее по берегу Невской губы до р. Малой Невы, далее по оси р. Малой Невы до Тучкова моста.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7813085660,781301001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 25 по Санкт-Петербургу),18210803010011000110,40394000,,,
156,Петроградский административный район,,"197110, Санкт-Петербург, ул. Большая Разночинная, д. 23, литера Б",,241-51-35,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Стромова Алина Александровна,,,,"Границы судебного участка N 156 проходят: от пересечения оси Ушаковского моста и оси р. Большой Невки по оси р. Большой Невки до р. Малой Невки, затем по оси р. Малой Невки до Каменноостровского моста, далее по оси Каменноостровского моста до Каменноостровского пр., далее по оси Каменноостровского пр. до оси р. Карповки, далее по оси р. Карповки до Чкаловского пр., далее по оси Чкаловского пр. до ул. Красного Курсанта, далее по оси ул. Красного Курсанта до Офицерского пер., далее по оси Офицерского пер. (исключая жилой дом по адресу: Ждановская наб., д. 11, лит. Д) до Ждановской наб., далее по оси Ждановской наб. до Ждановского моста через р. Ждановку, далее по оси р. Ждановки до Новоладожской ул., далее по оси Новоладожской ул. до Пионерской ул., далее по оси Пионерской ул. до р. Малой Невки, далее по оси р. Малой Невки до Невской губы, далее по берегу Невской губы до р. Большой Невки, далее по оси р. Большой Невки до Ушаковского моста.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7813085660,781301001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 25 по Санкт-Петербургу),18210803010011000110,40394000,,,
