№,Наименование лечебно-профилактического учреждения,Тип лечебно-профилактического учреждения,Адрес,Координаты,Район города,Руководитель,Телефон,Факс,Режим работы
235,"СПб ГБУЗ Городской туберкулезный санаторий ""Сосновый Бор""",Санаторно-курортные учреждения,"188826, Ленинградская обл., п. Сосновый Бор, ул. Александра Невского, д. 16",,Ленинградская область,Соколов Андрей Геннадьевич,8-813-78-62-530,8-813-78-62-586,
236,"СПб ГБУЗ Детский санаторий ""Аврора""",Санаторно-курортные учреждения,"197760, г.Кронштадт, Цитадельское шоссе, д.30","60.0035,29.7355",Кронштадтский,Нарчук Петр Александрович,311-03-38,,
237,"СПб ГБУЗ Детский санаторий ""Звездочка""",Санаторно-курортные учреждения,"197720, Курортный район, п. Ушково, шоссе Приморское, д. 605","60.1942,29.6353",Курортный,Малашкин Андрей Борисович,573-93-82,433-33-53,
238,"СПб ГБУЗ Детский санаторий ""Салют"" (пульмонологический)",Санаторно-курортные учреждения,"188380, п. Вырица, ул. Лесная, д. 15",,Ленинградская область,Умнов Роман Сергеевич,8-813-71-49-807,8-813-71-49-807,
239,"СПб ГБУЗ Детский санаторий ""Солнечное""",Санаторно-курортные учреждения,"197739, Санкт-Петербург, Курортный район, п. Солнечное, ул. 2-я Боровая, д. 6","60.143,29.9428",Курортный,Андриянычева Наталья Владимировна,246-12-12,246-12-12,
240,"СПб ГБУЗ Детский санаторий ""Спартак""",Санаторно-курортные учреждения,"188380, Ленинградская обл., п. Вырица, ул. Московская, д. 61, корп. 7",,Ленинградская область,Завражных Софья Юрьевна,8-813-71-49580,,
241,"СПб ГКУЗ ""Амбулатория Мариинская""",Амбулатории,"190107, Санкт-Петербург, пл. Исаакиевская, д. 6","59.931,30.3094",Адмиралтейский,Бутко Дмитрий Юрьевич,570-37-15,570-37-15,
242,"СПб ГКУЗ ""Городская психиатрическая больница №3 им. И.И.Скворцова-Степанова""",Психиатрические и психоневрологические больницы,"197341, Санкт-Петербург, Фермское шоссе, д. 36","60.0213,30.3091",Приморский,Софронов Александр Генрихович,576-53-71,301-86-54,
243,"СПб ГКУЗ ""Городская психиатрическая больница №6 (стационар с диспансером)""",Психиатрические и психоневрологические больницы,"191167, Санкт-Петербург, наб. Обводного канала, д. 9 лит.А, лит.И","59.9192,30.3875",Центральный,Кондакова Вероника Евгеньевна,246-27-00,274-26-32,
244,"СПб ГКУЗ ""Городская станция переливания крови""",Учреждения здравоохранения особого типа,"196084, Санкт-Петербург, Московский пр., д.104","59.8955,30.3198",Центральный,Засухина Татьяна Николаевна,388-12-55,388-12-55,
245,"СПб ГКУЗ ""Городской центр восстановительного лечения детей с психоневрологическими нарушениями""",Прочие амбулаторные учреждения,"196135, Санкт-Петербург, ул. Фрунзе, д. 10","59.862,30.3232",Московский,Джангавадзе Нугзар Давидович,388-24-87,388-24-87,
246,"СПб ГКУЗ ""Городской центр медицинской профилактики""",Учреждения здравоохранения особого типа,"191023, Санкт-Петербург, ул.Малая Садовая, д.1/ 25, литера А","59.9351,30.3375",Центральный,Бережной Андрей Владимирович,246-69-09,246-69-09,
247,"СПб ГКУЗ ""Детский городской сурдологический центр""",Медицинские центры,"194356, Санкт-Петербург, ул. Есенина, д. 26, корп. 4","60.0489,30.3398",Выборгский,Туфатулин Газиз Шарифович,246-47-54,246-47-07,
248,"СПб ГКУЗ ""Детский туберкулезный санаторий ""Дружба""",Санаторно-курортные учреждения,"196607, Санкт-Петербург, г. Пушкин, ул. Леонтьевская, д. 35","59.7253,30.4118",Пушкинский,Степанов Виктор Васильевич,241-25-56,241-25-56,
249,"СПб ГКУЗ ""Диагностический центр (медико-генетический)""",Консультативно - диагностические центры для детей,"194044, Санкт-Петербург, ул.Тобольская, д.5","59.9726,30.3438",Выборгский,Коротеев Александр Леонидович,241-24-85,241-24-85,
250,"СПб ГКУЗ ""Психиатрическая больница Святого Николая Чудотворца""",Психиатрические и психоневрологические больницы,"190121, Санкт-Петербург, набережная реки Мойки, д. 126","59.9262,30.2776",Адмиралтейский,Отмахов Андрей Павлович,714-14-44,714-74-29,
251,"СПб ГКУЗ ""Психоневрологический диспансер №4""",Психоневрологические диспансеры,"197110, Санкт-Петербург, Пудожская ул., д.6","59.9647,30.292",Петроградский,Буткевич Михаил Александрович,417-29-29,417-29-29,
252,"СПб ГКУЗ ""Психоневрологический дом ребенка №6""",Дома ребенка,"199155, Санкт-Петербург, ул. Одоевского, д. 23","59.9518,30.2564",Василеостровский,Матвеева Екатерина Владимировна,350-04-09,350-16-67,
253,"СПб ГКУЗ ""Психоневрологический дом ребенка №8 Красногвардейского района""",Дома ребенка,"195176, Санкт-Петербург, ул. Синявинская, д. 18","59.9579,30.4188",Красногвардейский,Лохова Людмила Львовна,227-25-62,227-87-11,
254,"СПб ГКУЗ ""Психоневрологический дом ребенка №9""",Дома ребенка,"197183, Санкт-Петербург, пр. Приморский, д. 47","59.9836,30.279",Приморский,Лянко Любовь Михайловна,430-03-54,430-03-54,
255,"СПб ГКУЗ ""Специализированный дом ребенка №3 (психоневрологический) Фрунзенского района""",Дома ребенка,"192289, Санкт-Петербург, бульвар Загребский, д. 42","59.8298,30.417",Фрунзенский,Пеньков Дмитрий Григорьевич,241-56-30,778-40-06,
256,"СПб ГКУЗ ""Специализированный психоневрологический дом ребенка №13 Адмиралтейского района Санкт-Петербурга""",Дома ребенка,"190068, Санкт-Петербург, канал Грибоедова, д. 98","59.9265,30.3011",Адмиралтейский,Полянская Ирина Валерьевна,407-43-09,407-43-09,
257,"СПб ГКУЗ ""Хоспис №1""",Хосписы,"197229, Санкт-Петербург, п.Лахта, Лахтинский пр., д. 98","59.9914,30.1451",Приморский,Сенчук Руслана Богдановна,576-19-55,576-19-55,
258,"СПб ГКУЗ ""Хоспис №2""",Хосписы,"196643, Санкт-Петербург, поселок Понтонный, ул. Заводская, д. 36","59.7862,30.6291",Колпинский,Арзуманов Антон Арутюнович,409-84-48,462-56-33,
259,"СПб ГКУЗ ""Хоспис №3""",Хосписы,"194362, Санкт-Петербург, п.Парголово, ул. Ломоносова д.76 лит.Б","60.0791,30.2816",Выборгский,Лебединец Александр Иванович,594-87-33,594-87-33,
260,"СПб ГКУЗ ""Хоспис №4""",Хосписы,"195427, Санкт-Петербург, пр. Светлановский, д. 85 литера А","60.0263,30.3876",Калининский,Москалев Эдуард Валерьевич,555-98-04,555-98-04,
261,"СПб ГКУЗ Детский санаторий ""Березка""",Санаторно-курортные учреждения,"188333, Ленинградская обл., Гатчинский р-н, пос. Сиверский, пр. Пионерский, д. 2",,Ленинградская область,Николаев Евгений Тимофеевич,8-813-71-44-212,8-813-71-44-212,
262,"СПб ГКУЗ Детский туберкулезный санаторий ""Жемчужина""",Санаторно-курортные учреждения,"197920, Санкт-Петербург, Зеленогорск, п. Ушково, ул.Пляжевая, д. 10","60.2017,29.6073",Курортный,Борисова Татьяна Михайловна,433-44-16,433-44-16,
263,"СПб ГКУЗ Детский туберкулезный санаторий ""Жемчужина""",Санаторно-курортные учреждения,"196601, Санкт-Петербург, г.Пушкин, шоссе Московское, д. 9","59.7149,30.423",Пушкинский,Власенко Галина Петровна,476-88-92,466-05-57,
264,"СПб ГКУЗ Детский туберкулезный санаторий ""Жемчужина""",Санаторно-курортные учреждения,"198504, Санкт-Петербург, г.Петродворец, пр. Собственный, д. 9","59.8926,29.855",Петродворцовый,Эргардт Тамара Александровна,246-01-10,246-01-10,
265,"СПб ГКУЗ особого типа Медицинский центр мобилизационных резервов ""Резерв""","Центр ""Резерв""","191014, Санкт-Петербург, ул. Маяковского, д. 5 лит.А","59.9348,30.3554",Центральный,Герасимов Александр Александрович,579-15-13,,
266,"СПб ГКУЗ Центр восстановительного лечения ""Детская психиатрия"" имени С.С. Мнухина",Прочие больничные учреждения,"197022, Санкт-Петербург, ул. Чапыгина, д.13","60.1193,30.1798",Петроградский,Тадтаев Виталий Александрович,234-23-33,234-47-11,
